Tarih,TP DK USD S YTL,TP DK USD A YTL
11/12/2010,,
12/12/2010,,
13/12/2010,1.5012,1.494
14/12/2010,1.505,1.4978
15/12/2010,1.5009,1.4937
16/12/2010,1.5182,1.5109
17/12/2010,1.523,1.5157
18/12/2010,,
19/12/2010,,
20/12/2010,1.5273,1.52
21/12/2010,1.5536,1.5461
22/12/2010,1.5572,1.5497
23/12/2010,1.5531,1.5456
24/12/2010,1.552,1.5446
25/12/2010,,
26/12/2010,,
27/12/2010,1.5466,1.5392
28/12/2010,1.5477,1.5403
29/12/2010,1.549,1.5416
30/12/2010,1.5642,1.5567
31/12/2010,1.5535,1.546
01/01/2011,,
02/01/2011,,
03/01/2011,1.545,1.5376
04/01/2011,1.5551,1.5476
05/01/2011,1.5519,1.5445
06/01/2011,1.5474,1.54
07/01/2011,1.5476,1.5402
08/01/2011,,
09/01/2011,,
10/01/2011,1.5646,1.5571
11/01/2011,1.5854,1.5778
12/01/2011,1.5778,1.5702
13/01/2011,1.5694,1.5619
14/01/2011,1.5589,1.5514
15/01/2011,,
16/01/2011,,
17/01/2011,1.5503,1.5429
18/01/2011,1.55,1.5426
19/01/2011,1.5337,1.5263
20/01/2011,1.5394,1.532
21/01/2011,1.5608,1.5533
22/01/2011,,
23/01/2011,,
24/01/2011,1.5769,1.5693
25/01/2011,1.5711,1.5636
26/01/2011,1.5627,1.5552
27/01/2011,1.5736,1.566
28/01/2011,1.575,1.5674
29/01/2011,,
30/01/2011,,
31/01/2011,1.5909,1.5833
01/02/2011,1.6068,1.5991
02/02/2011,1.589,1.5814
03/02/2011,1.5783,1.5707
04/02/2011,1.5836,1.576
05/02/2011,,
06/02/2011,,
07/02/2011,1.6004,1.5927
08/02/2011,1.577,1.5694
09/02/2011,1.5746,1.567
10/02/2011,1.5873,1.5797
11/02/2011,1.5989,1.5912
12/02/2011,,
13/02/2011,,
14/02/2011,1.5963,1.5886
15/02/2011,1.5916,1.584
16/02/2011,1.596,1.5883
